"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,       -6.60537426,      -4.181170784,      -5.631515927,      -2.458686134,      -4.387229328,       3.044212222
          0,           0,           1,      -6.589288297,      -4.163262442,      -5.613559309,      -1.957581869,       -4.38723244,       3.281922806
          0,           0,           2,      -6.572754265,      -4.147340981,      -5.490038625,       -1.85004235,      -4.387235246,       2.998994781
          0,           0,           3,      -6.557325277,      -4.134826123,      -5.432803835,      -1.828435653,      -4.387247359,       2.674926209
          0,           0,           4,      -6.544406484,      -4.125446529,      -5.470336762,      -1.830591977,      -4.387261683,       2.390694707
          0,           0,           5,      -6.534358086,      -4.118572782,      -5.502448765,      -1.839677868,       -4.38727366,       2.206351199
          0,           0,           6,      -6.526714271,      -4.113603007,      -5.501011326,      -1.851892937,      -4.387283494,       2.127690844
          0,           0,           7,      -6.520790311,      -4.110048048,      -5.487587619,      -1.866215223,       -4.38729395,       2.090927324
          0,           0,           8,      -6.516084485,      -4.107538331,      -5.472879751,       -1.88208177,      -4.387317612,       2.064104687
          0,           0,           9,      -6.512316753,       -4.10579885,      -5.459008273,      -1.898576072,      -4.387338863,       2.053131977
          0,           0,          10,      -6.509323591,      -4.104628679,      -5.446799766,      -1.914592509,       -4.38735768,       2.049872511
          0,           0,          11,      -6.506972851,      -4.103880478,      -5.436435414,      -1.929359264,      -4.387374192,       2.040238897
          0,           0,          12,      -6.505139461,       -4.10344651,      -5.427789182,      -1.942576246,      -4.387388406,        2.02732272
          0,           0,          13,      -6.503711081,      -4.103247198,      -5.420676241,      -1.954303337,      -4.387404272,       2.009093013
          0,           0,          14,      -6.502600533,      -4.103223659,      -5.414941728,      -1.964639372,      -4.387435883,       2.002210499
          0,           0,          15,      -6.501743934,      -4.103333375,      -5.410588461,      -1.973534308,      -4.387465298,       2.000864082
          0,           0,          16,      -6.501094145,      -4.103544939,      -5.407379387,      -1.981260901,      -4.387492714,       2.005591239
          0,           0,          17,      -6.500613909,      -4.103834168,      -5.405234437,      -1.987977222,       -4.38751821,       2.017082963
          0,           0,          18,      -6.500277694,      -4.104182577,      -5.404194831,      -1.993719518,       -4.38754193,       2.035833375
          0,           0,          19,      -6.500064245,      -4.104576309,      -5.404130128,      -1.998571931,       -4.38756409,       2.056283281
          0,           0,          20,      -6.499954307,      -4.105005058,      -5.404860762,        -2.0026812,      -4.387584737,       2.075602131
